split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,params
-11.582973273062807,-11.904394510197443,-12.180294396589762,-21.728444151070995,-10.491419800548599,-11.45306823412556,-9.910948634097792,-12.335239355270199,-11.751363429422494,-8.425602726969942,-12.198615015820613,3.400228451731348,1,14.68934462070465,2.467253078142777,1.5941308259963989,0.19726622081960568,False,mse,5242,auto,10000,10,2,0.0,5000,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 5242, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 10, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 5000}"
-12.27784262271603,-12.168249161387529,-12.400434771712861,-21.75220006328012,-9.479903375776804,-11.07299707584841,-9.796907800112907,-13.720236402221794,-12.073584330117777,-9.33948900143105,-12.427351786468687,3.4207643866499833,1,21.400642728805543,3.864220147416841,1.6049978971481322,0.17898553195073924,False,mse,5705,auto,10000,4,2,0.0,5000,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 5705, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 5000}"
-11.696060540867089,-12.070543146245964,-11.700304466457933,-23.218304073183184,-11.410878154029323,-14.050017840873846,-10.934467613287989,-12.546966591287745,-11.713871013756828,-10.166539761391586,-12.967754411503524,3.5771723140465745,1,4.086958622932434,0.5034068125984923,0.5411467790603638,0.08063375437737179,False,mse,10000,sqrt,10000,11,2,0.0,1667,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 10000, 'max_features': 'sqrt', 'max_leaf_nodes': 10000, 'min_samples_leaf': 11, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 1667}"
-11.562730572233297,-11.924473046642962,-12.160972987510524,-21.768128154438088,-10.69397558517824,-11.520058995740255,-9.922562546952433,-12.228519601974488,-11.730780439661775,-8.470985764691289,-12.220917774259453,3.394920746381964,1,14.385986399650573,2.3820101894445003,1.5596787452697753,0.18329196552105478,False,mse,5023,auto,10000,11,2,0.0,5000,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 5023, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 11, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 5000}"
-11.506709007095886,-12.037305909922928,-12.04483936216372,-21.75949502747678,-10.795585667920074,-11.749034844809534,-10.008092628458419,-12.166204520075626,-11.61580325620698,-8.505118674248402,-12.241199335950187,3.377300751756639,1,13.731006741523743,2.295674969026078,1.562647557258606,0.18587118169615366,False,mse,4949,auto,6687,13,2,0.0,5000,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 4949, 'max_features': 'auto', 'max_leaf_nodes': 6687, 'min_samples_leaf': 13, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 5000}"
-11.621702723630253,-12.16039548346694,-11.672098454514423,-23.29358205915681,-11.516299639921677,-14.137091814310013,-11.008582979452978,-12.541348136336566,-11.753034112584043,-10.234918800939441,-13.010713519664753,3.5881608743092293,1,6.4913249731063845,0.8997101472754538,0.8584857702255249,0.0854516349386648,False,mse,10000,log2,10000,12,2,0.0,2682,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 10000, 'max_features': 'log2', 'max_leaf_nodes': 10000, 'min_samples_leaf': 12, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 2682}"
-11.559770101795003,-11.962104036593345,-12.138259273433558,-21.761841784538817,-10.726352849432931,-11.53020842806989,-9.964677016628501,-12.221211170695554,-11.740274886896694,-8.448033149935284,-12.22788267201397,3.3908297734258475,1,7.115676832199097,0.9982549762202222,0.7953641891479493,0.10077769801651619,False,mse,10000,auto,3545,11,2,0.0,2525,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 10000, 'max_features': 'auto', 'max_leaf_nodes': 3545, 'min_samples_leaf': 11, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 2525}"
-11.498182682482245,-12.159011023268416,-12.087244044939778,-21.74622329870018,-10.611435693948238,-11.96671750778769,-9.966882341825533,-12.127918497469816,-11.573430583395893,-8.577901528657799,-12.253541142920897,3.374771753685945,1,0.44950664043426514,0.07146008171628977,0.10479857921600341,0.0008312462748302211,False,mse,5000,auto,10000,14,2,0.0,138,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 5000, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 14, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 138}"
-11.1875,-13.53125,-13.03125,-25.8125,-10.46875,-14.516129032258064,-12.829032258064514,-13.76774193548387,-11.520483870967741,-10.895967741935483,-13.772730158730159,4.246299402885053,1,0.28005936145782473,0.014144607661508046,0.10532517433166504,0.002475573566566214,False,mae,2,auto,10000,100,2,0.5,100,"{'bootstrap': False, 'criterion': 'mae', 'max_depth': 2, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 100, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.5, 'n_estimators': 100}"
-11.529753547600567,-12.062325767431005,-12.03170340027952,-21.839831677864375,-10.856367042050294,-11.810519963020917,-10.046804646868226,-12.078663040132433,-11.410419881069524,-8.571688038725163,-12.246667836798505,3.391366293185825,1,13.502550029754639,2.1074315033157527,1.5437235355377197,0.20232732864811956,False,mse,5272,auto,10000,14,2,0.0,5000,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 5272, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 14, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 5000}"
