Date	Day	1st Drop	2nd Drop	Total number of people fed
13/06/20	Sat	23	28	51
20/06/2020	Sat	35	15	50
07/08/2020	Fri	32	24	56
17/07/2020	Fri	12	20	32
05/08/2020	Wed	27	23	50
15/08/2020	Sat	15	15	30
12/09/2020	Sat	25	20	45
11/10/2020	Sun	25	25	50
12/10/2020	Mon	20	15	35
08/11/2020	Sun	20	20	40
08/11/2020	Sun	15	12	27
01/02/2021	Mon	16	13	29
19/01/2021	Tue	6	7	13
20/01/2021	Wed	6	4	10
24/01/2021	Sun	14	8	22
02/01/2021	Sat	28	12	40
14/02/2021	Sun	6	9	15
17/02/2021	Wed	18	9	27
27/02/2021	Sat	12	6	18
05/03/21	Fri	7	10	17
03/03/21	Wed	20	10	30
04/03/21	Thu	11	10	21
02/03/21	Tue	15	15	30
01/03/21	Mon	15	12	27
26/02/21	Fri	13	14	27
28/02/21	Sun	10	12	22
24/02/21	Wed	15	15	30
23/02/21	Tue	14	9	23
22/02/21	Mon	15	10	25
21/02/21	Sun	25	15	40
20/02/21	Sat	9	8	17
19/02/21	Fri	11	8	19
18/02/21	Thu	18	12	30
16/02/21	Tue	12	10	22
12/02/21	Fri	11	5	16
11/02/21	Thu	15	5	20
10/02/21	Wed	12	20	32
09/02/21	Tue	17	16	33
05/02/21	Fri	15	15	30
04/02/21	Thu	19	13	32
02/02/21	Tue	16	14	30
01/02/21	Mon	29	15	44
30/01/21	Sat	28	12	40
29/01/21	Fri	14	10	24
27/01/21	Wed	14	11	25
25/01/21	Mon	15	15	30
24/01/21	Sun	14	8	22
23/01/21	Sat	16	15	31
22/01/21	Fri	8	12	20
21/01/21	Thu	21	16	37
19/01/21	Tue	14	9	23
11/01/21	Mon	10	18	28
16/01/21	Sat	13	8	21
15/01/21	Fri	12	12	24
14/01/21	Thu	14	10	24
12/01/21	Tue	11	15	26
08/01/21	Fri	10	10	20
07/01/21	Thu	18	12	30
05/01/21	Tue	12	14	26
04/01/21	Mon	19	16	35
01/01/21	Fri	12	13	25
30/12/20	Wed	12	16	28
31/12/20	Thu	12	12	24
29/12/20	Tue	21	16	37
28/12/20	Mon	10	17	27
26/12/20	Sat	6	7	13
25/12/20	Fri	5	6	11
24/12/20	Thu	14	10	24
22/12/20	Tue	12	11	23
20/12/20	Sun	8	12	20
19/12/20	Sat	10	4	14
16/12/20	Wed	20	15	35
15/12/20	Tue	21	18	39
14/12/20	Mon	20	18	38
12/12/20	Sat	17	17	34
10/12/20	Thu	12	10	22
08/12/20	Tue	20	15	35
07/12/20	Mon	25	14	39
02/12/20	Wed	20	15	35
05/12/20	Sat	8	15	23
04/12/20	Fri	12	15	27
03/12/20	Thu	25	12	37
30/11/20	Mon	20	15	35
01/12/20	Tue	25	15	40
29/11/20	Sun	22	15	37
28/11/20	Sat	20	17	37
27/11/20	Fri	25	10	35
26/11/20	Thu	25	12	37
25/11/20	Wed	26	14	40
24/11/20	Tue	15	13	28
23/11/20	Mon	18	16	34
22/11/20	Sun	19	12	31
19/11/20	Thu	15	15	30
16/11/20	Mon	18	15	33
18/11/20	Wed	20	15	35
17/11/20	Tue	17	12	29
15/11/20	Sun	15	15	30
13/11/20	Fri	20	20	40
12/11/20	Thu	18	18	36
09/11/20	Mon	27	12	39
10/11/20	Tue	21	19	40
08/11/20	Sun	15	12	27
07/11/20	Sat	20	20	40
04/11/20	Wed	20	20	40
03/11/20	Tue	19	16	35
02/11/20	Mon	26	13	39
31/10/20	Sat	27	17	44
30/10/20	Fri	11	15	26
29/10/20	Thu	25	15	40
